n	logs.Storm.vi-monoshifted	logs.Storm.vi-mono-mecqshifted	logs.Storm.vi-toposhifted	logs.Storm.vi-topo-mecqshifted	logs.Storm.ovi-monoshifted	logs.Storm.ovi-toposhifted	logs.Storm.svi-monoshifted	logs.Storm.svi-toposhifted	logs.Storm.ii-monoshifted	logs.Storm.ii-toposhifted	logs.Storm.rs-topo-mecq-exactshifted	logs.Storm.rs-mono-mecq-exactshifted	logs.Storm.pi-mono-gmresshifted	logs.Storm.pi-mono-gmres-diagprecondshifted	logs.Storm.pi-mono-gmres-noprecondshifted	logs.Storm.pi-mono-gmres-bicgstabshifted	logs.Storm.pi-mono-gmres-qmrshifted	logs.Storm.pi-mono-gmres-toposhifted	logs.Storm.pi-topo-gmresshifted	logs.Storm.pi-topo-gmres-monoshifted	logs.Storm.pi-mono-exactlushifted	logs.Storm.pi-mono-exactlu-toposhifted	logs.Storm.pi-topo-exactlushifted	logs.Storm.pi-topo-exactlu-monoshifted	logs.Storm.pi-mono-lushifted	logs.Storm.pi-topo-lushifted	logs.Storm.pi-mono-ovishifted	logs.Storm.pi-topo-ovishifted	logs.Storm.pi-mono-vishifted	logs.Storm.pi-topo-vishifted	logs.Storm.vi2pi-mono-gmresshifted	logs.Storm.vi2pi-mono-exactlushifted	logs.Storm.vi2pi-topo-gmresshifted	logs.Storm.vi2pi-topo-exactlushifted	logs.Storm.vi2pi-topo-gmres-monoshifted	logs.Storm.vi2pi-topo-exactlu-monoshifted	logs.Storm.vi2pi-mono-exactlu-toposhifted	logs.Storm.lp-mono-gurobishifted	logs.Storm.lp-mono-gurobi-4autoshifted	logs.Storm.lp-mono-gurobi-4barriershifted	logs.Storm.lp-mono-gurobi-4dualsimplshifted	logs.Storm.lp-mono-gurobi-4primalsimplshifted	logs.Storm.lp-gurobi-8autoshifted	logs.Storm.lp-gurobi-16autoshifted	logs.Storm.lp-gurobi95-1autoshifted	logs.Storm.lp-gurobi95-4autoshifted	logs.Storm.lp-gurobi95-8autoshifted	logs.Storm.lp-gurobi95-16autoshifted	logs.Storm.lp-mono-gurobi-4autoeqshifted	logs.Storm.lp-mono-gurobi-4autoinitshifted	logs.Storm.lp-mono-gurobi-4autobndsshifted	logs.Storm.lp-mono-gurobi-4autoinitbndsshifted	logs.Storm.lp-topo-gurobi-4autoshifted	logs.Storm.lp-topo-gurobi-4autoeqshifted	logs.Storm.lp-topo-gurobi-4autoinitshifted	logs.Storm.lp-topo-gurobi-4autobndsshifted	logs.Storm.lp-topo-gurobi-4autoinitbndsshifted	logs.Storm.lp-topo-gurobishifted	logs.Storm.lp-topo-mecq-gurobishifted	logs.Storm.lp-topo-mecq-gurobi-4autoshifted	logs.Storm.lp-mono-mecq-gurobi-4autoshifted	logs.Storm.vi2lp-topo-gurobishifted	logs.Storm.vi2lp-mono-gurobishifted	logs.Storm.vi2lp-topo-gurobi-4autoshifted	logs.Storm.vi2lp-topo-mecq-gurobi-4autoshifted	logs.Storm.vi2lp-mono-gurobi-4autoshifted	logs.Storm.vi2lp-mono-mecq-gurobi-4autoshifted	logs.Storm.lp-mono-soplex-exactshifted	logs.Storm.lp-mono-soplexshifted	logs.Storm.lp-mono-glpkshifted	logs.Storm.lp-mono-z3-exactshifted	logs.Storm.vi2lp-mono-soplex-exactshifted	logs.Storm.lp-topo-soplex-exactshifted	logs.Storm.lp-topo-soplexshifted	logs.Storm.lp-topo-glpkshifted	logs.Storm.lp-topo-z3-exactshifted	logs.Storm.vi2lp-topo-soplex-exactshifted	logs.Storm.vi2lp-topo-mecq-soplex-exactshifted	logs.Storm.vi-mono-bisim-sylvan1shifted	logs.Storm.vi2pi-topo-exactlu-bisim-sylvan1shifted	logs.Storm.vi-mono-bfsshifted	logs.Storm.vi-mono-reversebfsshifted	logs.Storm.vi-mono-rndshifted	logs.Storm.pi-mono-bfsshifted	logs.Storm.pi-mono-reversebfsshifted	logs.Storm.pi-mono-rndshifted	logs.Storm.lp-mono-bfsshifted	logs.Storm.lp-mono-reversebfsshifted	logs.Storm.lp-mono-rndshifted	logs.mcsta.vishifted	logs.mcsta.ovishifted	logs.mcsta.svishifted	logs.mcsta.iishifted	logs.mcsta.lp-copt-monoshifted	logs.mcsta.lp-copt-toposhifted	logs.mcsta.lp-cplex-monoshifted	logs.mcsta.lp-cplex-toposhifted	logs.mcsta.lp-glop-monoshifted	logs.mcsta.lp-glop-toposhifted	logs.mcsta.lp-gurobi-monoshifted	logs.mcsta.lp-gurobi-toposhifted	logs.mcsta.lp-highs-monoshifted	logs.mcsta.lp-highs-toposhifted	logs.mcsta.lp-lpsolve-monoshifted	logs.mcsta.lp-lpsolve-toposhifted	logs.mcsta.lp-mosek-monoshifted	logs.mcsta.lp-mosek-toposhifted	logs.mcsta.vi-p0shifted	logs.mcsta.vi-p1shifted	logs.mcsta.vi-p01shifted	logs.mcsta.vi-esshifted	logs.mcsta.vi-es-p01shifted	logs.mcsta.vi-mecqshifted	logs.mcsta.ovi-mecqshifted	logs.Storm.bestshifted	logs.mcsta.bestshifted	selection-bestshifted	bestshifted
1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
1	0.491	0.226	0.34	0.184	0.247	0.227	0.394	0.415	0.319	0.357	2.862	3.046	1.561	3.549	3.678	0.918	1.317	0.87	2.465	1.745	22.822	18.545	15.199	26.363	6.514	4.67	14.823	4.663	5.774	4.652	0.881	3.821	0.914	1.396	0.789	3.78	1.267	166.916	5.433	5.175	206.824	2.608	1.332	1.399	39.777	6.086	1.868	1.89	7.065	9.276	5.763	7.816	5.745	6.026	6.862	6.017	6.406	7.25	0.96	1.004	0.942	6.823	9.374	3.54	1.041	2.847	1.024	763.519					57.823	11.315	6.838			27.615	0.48	0.418	0.212	0.271	0.3964	0.925	2.752	4.0966000000000005	5.133	5.007	11.5062	0.2	0.2	0.2	0.6	13.9	17.4	6.1	2.9	128.3	3.5	1.7	3.4	698.2	3.6		5.8	75.1	435.6	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.184	0.2	0.227	0.184
2	0.535	0.254	0.618	0.486	0.284	0.577	0.576	0.81	0.528	0.757	3.629	3.623	2.129	11.007	10.861	1.447	2.537	2.645	4.547	2.021	84.631	18.581	16.047	28.429	35.086	57.956	67.646	16.738	12.681	16.126	0.888	4.742	2.255	2.31	0.888	4.673	2.333		64.646	54.878		2.864	3.124	2.706	684.42	45.158	2.72	2.973	75.238	202.3	47.163		7.043	6.852	7.811	7.36	7.604	106.488	8.27	5.613	5.536	32.793	31.193	7.272	1.214	9.255	1.164						466.285	101.163	81.656				0.777	0.546	0.487	0.687	0.9224	2.816	3.138	5.8716	69.09	153.973	275.82980000000003	0.2	0.3	0.5	0.6	492.2	22.4	144.0	13.5	593.2	15.0	6.3	11.1		15.0		22.2	98.6		0.3	0.3	0.4	0.2	0.3	0.3	0.3	0.254	0.2	0.3	0.2
3	0.748	0.761	0.747	0.88	0.939	0.894	0.851	0.96	0.921	0.961	23.896	18.419	10.699	26.743	26.407	4.107	6.55	4.342	19.538	5.016	116.917	34.404	18.34	81.036				60.487	24.735	63.142	0.951	6.746	2.652	3.835	0.923	6.814	4.13		179.244	136.792		13.631	15.305	15.982		69.936	15.064	16.599	184.81				40.602	40.291	75.068	50.841	69.341	192.637	73.043	7.362	69.578	37.851	38.562	34.841	3.665	30.754	3.666												0.945	0.937	0.648	0.753	1.129	4.629	22.48	25.2816	170.815	183.101	486.5736	0.3	0.4	0.6	0.8		37.9	455.2	130.3		113.1	31.9	11.1		654.6			566.4		0.3	0.7	0.6	0.3	0.5	0.5	0.4	0.546	0.3	0.3	0.2
4	0.985	0.842	0.905	1.015	1.252	1.085	1.389	2.505	0.954	1.576			21.694	30.975	30.821	7.538	13.981	19.961	45.48	14.346	678.21	51.053	42.285	149.52				73.672	58.52	73.792	0.959	8.383	5.345	4.704	1.079	11.58	5.429					17.24	16.3	16.247		152.327	28.448	22.979					86.188	74.848	143.979	78.748	118.563		179.495	15.465	76.369	81.578	41.264	47.699	7.949	47.73	12.832												4.789	4.21	0.8	0.996	1.2533999999999998	17.459	33.094	77.0802				1.7	2.0	2.0	3.6		94.3		458.3		688.3	49.6	12.3							1.9	1.9	2.0	1.9	2.3	0.5	0.8	0.648	0.5	0.5	0.5
5	3.147	1.049	2.779	1.146	1.557	1.281	1.865	2.852	1.302	1.889			23.267	86.832	104.369	7.785	16.705	38.032	58.197	26.496		300.845	154.478	199.026						200.454	4.25	42.849	6.962	18.395	5.167	23.979	16.23					49.586	54.332	59.646			54.006	55.975					829.303	831.111					280.777	36.618	161.707	262.831	288.074	56.685	18.465	49.04	18.003												14.3	12.857	3.393	3.774	5.6288	33.289	33.856	82.1514				1.8	2.4	2.2	4.1							293.7	27.1							2.0	2.4	2.9	2.1	2.7	2.8	3.0	0.748	1.7	1.281	0.546
6	5.481	2.758	4.993	3.857	3.153	4.838	3.182	4.868	2.222	4.92			62.252	146.809	146.424	14.452	24.76	81.688	81.352	35.763		415.011	427.509	811.422							7.27	53.488	15.406	18.716	5.264	44.371	19.774						89.69	63.478			88.702	57.152											321.612	103.679				78.91	56.389	57.784	52.515												24.989	17.05	4.463	5.351	10.0078	79.594	186.112	129.4346				2.8	2.6	3.8	6.4								69.8							3.1	2.9	3.0	3.0	2.8	3.2	3.2	0.842	1.8	3.0	0.648
7	5.729	3.253	5.401	4.264	7.497	4.868	6.113	6.264	5.731	5.076			79.904	149.122	149.616	16.955	33.82	83.999	84.796	66.366		573.698	573.773								10.822	226.535	16.888	23.661	9.298	67.045	22.397							619.194																376.063					84.165	807.027	57.562												45.066	19.311	5.653	5.728	10.3322	82.987	289.175	131.3424				3.9	9.4	7.3	6.6								608.6							3.7	6.5	6.4	3.6	5.0	4.0	3.7	0.87	2.0	3.7	0.87
8	5.783	3.565	7.141	4.815	8.385	5.37	6.92	8.931	6.716	7.544			82.261	168.556	170.488	19.381	74.213	104.524	99.743	74.046		579.435	585.247								11.816	235.745	32.34	32.034	10.578	269.387	34.281																							789.309					188.846		184.26												59.506	47.41	6.05	7.781	13.506	104.616	457.25	463.2048				4.7	10.0	9.8	11.0															6.5	8.2	7.4	4.7	7.4	4.9	6.4	0.937	2.4	4.838	0.937
9	6.558	4.574	9.339	4.833	10.84	9.116	10.323	12.059	8.001	11.837			257.172	243.38	239.938	44.229	76.165	414.821	442.927	208.566											12.271	492.626	67.807	45.648	13.276	286.307	39.898																												878.598														71.333	80.332	7.499	10.009	17.316	388.279	471.317					8.0	12.3	16.0	11.6															8.4	8.4	8.0	7.9	7.9	6.7	7.0	3.253	3.0	4.9	1.7
