n	logs.Storm.vi-toposhifted	logs.Storm.vi-topo-mecqshifted	logs.Storm.ovi-toposhifted	logs.Storm.rs-topo-mecq-exactshifted	logs.Storm.pi-mono-gmres-toposhifted	logs.Storm.vi2pi-topo-exactlushifted	logs.Storm.vi2pi-topo-gmres-monoshifted	logs.Storm.vi2lp-topo-mecq-gurobi-4autoshifted	logs.Storm.vi2lp-topo-mecq-soplex-exactshifted	logs.mcsta.iishifted	logs.mcsta.vi-esshifted	logs.Storm.bestshifted	logs.mcsta.bestshifted	selection-bestshifted	bestshifted
1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
1	0.146	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
2	0.149	0.1	0.1	0.169	0.1	0.173	0.1	0.1	0.168	0.1	0.1	0.1	0.1	0.1	0.1
3	0.151	0.135	0.152	0.809	0.1	0.814	0.165	0.1	0.778	0.1	0.1	0.1	0.1	0.1	0.1
4	0.163	0.138	0.153	0.882	0.1	0.862	0.171	0.1	0.798	0.1	0.1	0.1	0.1	0.1	0.1
5	0.169	0.143	0.164	0.951	0.1	0.863	0.188	0.205	0.823	0.1	0.1	0.1	0.1	0.1	0.1
6	0.25	0.148	0.171	1.31	0.1	0.87	0.202	0.209	0.827	0.2	0.1	0.1	0.1	0.1	0.1
7	0.332	0.15	0.177	1.349	0.108	0.887	0.319	0.209	1.105	0.3	0.1	0.1	0.1	0.1	0.1
8	0.449	0.156	0.193	1.844	0.281	0.892	0.33	0.237	2.047	0.6	0.1	0.1	0.1	0.1	0.1
9	0.45	0.162	0.197	2.081	0.297	0.901	0.397	0.311	2.125	0.6	0.2	0.108	0.1	0.1	0.1
10	0.481	0.246	0.352	2.287	0.319	0.951	0.438	0.318	3.58	0.9	0.3	0.135	0.1	0.1	0.1
11	0.541	0.416	0.451	3.931	0.507	2.066	0.446	0.328	3.848	0.9	0.3	0.138	0.1	0.1	0.1
12	0.576	0.426	0.576	4.331	0.561	2.326	0.507	0.356	3.965	1.0	0.3	0.143	0.1	0.1	0.1
13	0.604	0.432	0.674	4.668	0.624	2.767	0.562	0.363	3.986	1.1	0.3	0.146	0.2	0.1	0.1
14	0.614	0.559	0.691	4.797	0.711	3.326	0.639	0.483	4.408	1.1	0.3	0.148	0.2	0.1	0.1
15	0.633	0.615	0.692	5.145	0.884	3.387	0.676	0.506	4.411	1.1	0.4	0.153	0.3	0.1	0.1
16	0.677	0.635	0.706	6.557	1.014	3.436	0.708	0.693	4.801	1.4	0.4	0.156	0.3	0.1	0.1
17	0.789	0.654	0.711	7.293	1.019	3.445	0.749	0.781	5.536	1.4	0.5	0.246	0.3	0.1	0.1
18	0.812	0.686	0.712	7.432	1.218	3.503	0.876	0.919	6.763	1.4	0.6	0.281	0.3	0.1	0.1
19	0.896	0.704	0.79	12.511	1.23	3.575	0.897	0.93	11.078	1.4	0.6	0.297	0.3	0.108	0.108
20	0.939	0.753	0.823	12.543	1.328	3.83	0.901	0.955	12.161	1.5	0.7	0.319	0.4	0.135	0.135
21	1.001	0.755	0.856	12.555	1.363	3.864	0.933	0.962	12.424	1.5	0.7	0.426	0.4	0.138	0.138
22	1.144	0.814	0.857	13.127	1.472	3.954	0.962	0.974	13.025	1.6	0.8	0.432	0.5	0.143	0.143
23	1.155	0.844	0.888	13.156	1.492	4.355	1.007	1.002	13.087	1.6	0.8	0.507	0.6	0.148	0.146
24	1.201	0.858	0.904	13.398	1.501	4.482	1.008	1.118	13.268	1.8	0.8	0.576	0.6	0.15	0.148
25	1.481	0.938	0.939	13.868	1.553	4.905	1.081	1.366	13.535	2.4	0.9	0.604	0.6	0.156	0.153
26	1.534	1.015	0.979	16.738	1.578	6.445	1.287	1.443	13.809	3.0	0.9	0.614	0.7	0.162	0.156
27	1.624	1.125	1.012	17.993	1.589	7.309	1.33	1.472	14.981	3.2	0.9	0.633	0.7	0.2	0.2
28	1.677	1.344	1.022	19.732	2.198	8.071	1.489	1.551	16.138	3.4	1.0	0.635	0.8	0.281	0.281
29	1.723	1.508	1.38	20.565	2.214	8.112	1.522	1.557	16.384	3.5	1.1	0.686	0.8	0.297	0.297
30	1.802	1.515	1.518	20.91	2.403	8.985	1.541	1.562	17.162	3.8	1.2	0.704	0.8	0.3	0.3
31	1.822	1.542	1.544	21.267	2.56	10.266	1.607	1.653	17.166	4.8	1.3	0.789	0.9	0.426	0.426
32	1.857	1.548	1.545	21.768	2.577	10.44	1.627	1.767	18.095	5.2	1.3	0.814	0.9	0.432	0.432
33	1.919	1.587	1.637	22.408	2.606	10.565	1.661	2.093	19.547	5.3	1.4	0.844	0.9	0.5	0.5
34	1.946	1.611	1.839	23.191	2.638	11.533	1.752	2.125	20.255	5.3	1.5	0.858	1.0	0.507	0.507
35	1.989	1.613	1.882	23.594	2.742	11.738	1.753	2.949	23.845	5.4	1.5	0.884	1.1	0.6	0.576
36	2.015	1.727	2.009	23.719	2.918	12.461	2.038	3.364	27.957	6.2	1.6	0.888	1.3	0.6	0.6
37	2.153	1.771	2.088	24.46	2.972	12.488	2.058	3.387	65.871	6.5	1.7	0.901	1.3	0.6	0.6
38	2.705	1.774	2.111	24.82	3.027	12.539	2.187	3.489	74.455	6.7	1.7	1.344	1.4	0.615	0.6
39	2.946	2.021	2.123	25.314	3.239	12.554	2.527	3.834	75.709	7.2	1.9	1.472	1.5	0.635	0.604
40	2.963	2.105	2.149	28.601	3.408	13.123	2.586	4.068	75.807	8.8	2.0	1.481	1.5	0.654	0.614
41	2.999	2.108	2.23	73.08	3.653	13.39	2.863	4.609	86.308	9.0	2.0	1.501	1.5	0.686	0.633
42	3.007	2.236	2.31	87.599	4.148	13.572	2.93	4.843	89.526	10.2	2.1	1.515	1.6	0.704	0.635
43	3.084	2.531	2.369	88.424	4.259	14.635	3.155	6.313	99.459	10.3	2.1	1.548	1.6	0.753	0.686
44	3.092	2.573	2.917	98.455	4.262	14.973	3.545	6.434	115.087	11.2	2.2	1.587	1.7	0.8	0.704
45	3.097	2.832	3.116	148.947	4.297	15.008	3.583	7.179	128.078	11.3	2.4	1.589	1.9	0.814	0.789
46	3.274	2.885	3.175	232.51	5.468	15.758	3.788	7.256	156.678	11.8	2.4	1.613	2.0	0.858	0.8
47	3.587	2.907	3.48	268.976	5.537	15.945	4.25	7.477	285.787	11.9	2.7	1.727	2.0	0.884	0.814
48	4.437	2.954	3.515		5.742	16.947	4.439	7.557	289.8	13.2	2.9	1.771	2.1	0.9	0.858
49	4.565	2.996	3.556		6.472	17.466	4.579	7.71	300.736	14.3	3.0	1.774	2.1	0.9	0.884
50	4.682	3.62	3.609		7.54	19.63	4.795	7.886	376.559	15.6	3.6	1.822	2.2	0.9	0.9
51	4.773	3.776	4.3		7.849	19.96	4.873	8.539	716.527	15.6	3.7	1.857	2.4	1.0	0.9
52	4.872	3.803	4.306		9.258	20.978	5.066	11.304	717.762	17.5	3.8	1.946	2.4	1.015	0.9
53	5.235	3.822	4.663		10.204	23.112	5.235	11.639	800.595	18.0	4.8	2.108	2.7	1.1	0.901
54	5.587	4.084	4.878		10.427	23.326	5.84	12.008		19.4	4.8	2.403	2.9	1.125	1.0
55	5.83	4.289	5.068		10.458	23.601	6.21	12.456		19.8	6.8	2.531	3.0	1.3	1.3
56	6.031	4.935	5.085		13.96	24.733	6.313	12.515		21.4	7.0	2.573	3.0	1.3	1.3
57	6.499	4.987	5.263		15.058	26.77	6.775	12.68		21.5	7.0	2.832	3.5	1.4	1.4
58	6.937	5.225	5.534		16.204	28.033	6.776	12.683		22.5	7.5	2.885	4.8	1.472	1.472
59	6.954	6.122	6.079		16.821	29.05	6.902	13.617		25.6	7.7	2.907	4.8	1.5	1.5
60	7.07	6.171	6.498		17.541	31.797	6.911	14.864		26.5	8.0	2.954	6.5	1.587	1.587
61	7.947	6.648	6.629		21.314	34.428	8.071	14.959		26.6	8.3	2.972	6.7	1.6	1.6
62	8.455	6.672	6.971		25.919	51.181	8.678	16.871		27.8	9.2	2.996	6.8	1.6	1.6
63	10.185	8.258	8.067		27.278	65.398	8.766	31.775		30.9	9.3	3.155	7.0	2.0	2.0
