n	logs.Storm.vi-toposhifted	logs.Storm.ovi-toposhifted	logs.Storm.rs-topo-mecq-exactshifted	logs.Storm.vi2pi-topo-exactlushifted	logs.Storm.vi2pi-topo-gmres-monoshifted	logs.Storm.vi2lp-topo-mecq-gurobi-4autoshifted	logs.Storm.vi2lp-topo-mecq-soplex-exactshifted	logs.Storm.bestshifted	bestshifted
1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
4	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
5	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
6	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
7	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
8	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
9	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
11	0.78	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
12	1.181	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
13	1.362	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
14	1.537	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
15	1.72	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
16	1.723	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
17	1.771	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
18	1.796	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
19	1.836	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
20	1.841	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
21	1.858	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
22	1.881	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
23	1.888	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
24	1.888	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
25	1.938	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
26	1.964	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
27	2.099	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
28	2.114	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
29	2.201	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
30	2.239	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
31	2.276	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
32	2.314	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
33	2.349	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
34	2.538	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
35	2.59	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
36	2.634	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
37	2.661	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
38	2.853	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
39	2.879	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
40	2.905	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
41	2.95	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
42	2.953	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
43	2.969	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
44	2.997	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
45	3.011	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
46	3.053	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
47	3.09	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
48	3.286	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
49	3.489	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
50	3.503	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
51	3.532	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
52	3.538	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
53	3.556	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
54	3.589	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
55	3.604	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
56	3.738	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
57	3.743	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
58	3.761	0.1	0.119	0.1	0.1	0.1	0.1	0.1	0.1
59	3.876	0.1	0.134	0.1	0.1	0.1	0.1	0.1	0.1
60	3.987	0.1	0.155	0.1	0.1	0.1	0.1	0.1	0.1
61	4.005	0.1	0.16	0.1	0.1	0.1	0.1	0.1	0.1
62	4.011	0.1	0.171	0.1	0.1	0.1	0.1	0.1	0.1
63	4.09	0.1	0.192	0.1	0.1	0.1	0.1	0.1	0.1
64	4.127	0.1	0.221	0.1	0.1	0.1	0.1	0.1	0.1
65	4.158	0.1	0.306	0.1	0.1	0.1	0.1	0.1	0.1
66	4.179	0.1	0.521	0.1	0.1	0.1	0.1	0.1	0.1
67	4.322	0.1	30.165	0.1	0.1	0.1	0.1	0.1	0.1
68	4.396	0.1	71.149	0.1	0.1	0.1	0.1	0.1	0.1
69	4.495	0.1	89.334	0.1	0.1	0.1	0.1	0.1	0.1
70	5.307	0.1	114.421	0.1	0.1	0.1	0.1	0.1	0.1
71	5.391	0.1	258.883	0.1	0.1	0.1	0.1	0.1	0.1
72	5.798	0.1	709.287	0.1	0.1	0.1	0.1	0.1	0.1
73	6.552	0.1	780.375	0.1	0.1	0.1	0.1	0.1	0.1
74	6.615	0.1		0.1	0.1	0.1	0.1	0.1	0.1
75	6.735	0.1		0.1	0.1	0.1	0.1	0.1	0.1
