n	logs-avg.Storm.vi-toposhifted	logs-avg.Storm.ovi-toposhifted	logs-avg.Storm.vi2pi-topo-gmresshifted	logs-avg.Storm.vi2lp-topo-gurobishifted	logs-avg.mcsta.vishifted	logs-avg.mcsta.ovishifted	logs-run1.Storm.vi-toposhifted	logs-run1.Storm.ovi-toposhifted	logs-run1.Storm.vi2pi-topo-gmresshifted	logs-run1.Storm.vi2lp-topo-gurobishifted	logs-run1.mcsta.vishifted	logs-run1.mcsta.ovishifted	logs-run2.Storm.vi-toposhifted	logs-run2.Storm.ovi-toposhifted	logs-run2.Storm.vi2pi-topo-gmresshifted	logs-run2.Storm.vi2lp-topo-gurobishifted	logs-run2.mcsta.vishifted	logs-run2.mcsta.ovishifted	logs-run3.Storm.vi-toposhifted	logs-run3.Storm.ovi-toposhifted	logs-run3.Storm.vi2pi-topo-gmresshifted	logs-run3.Storm.vi2lp-topo-gurobishifted	logs-run3.mcsta.vishifted	logs-run3.mcsta.ovishifted	logs-run4.Storm.vi-toposhifted	logs-run4.Storm.ovi-toposhifted	logs-run4.Storm.vi2pi-topo-gmresshifted	logs-run4.Storm.vi2lp-topo-gurobishifted	logs-run4.mcsta.vishifted	logs-run4.mcsta.ovishifted	logs-run5.Storm.vi-toposhifted	logs-run5.Storm.ovi-toposhifted	logs-run5.Storm.vi2pi-topo-gmresshifted	logs-run5.Storm.vi2lp-topo-gurobishifted	logs-run5.mcsta.vishifted	logs-run5.mcsta.ovishifted	logs-avg.Storm.bestshifted	logs-avg.mcsta.bestshifted	logs-run1.Storm.bestshifted	logs-run1.mcsta.bestshifted	logs-run2.Storm.bestshifted	logs-run2.mcsta.bestshifted	logs-run3.Storm.bestshifted	logs-run3.mcsta.bestshifted	logs-run4.Storm.bestshifted	logs-run4.mcsta.bestshifted	logs-run5.Storm.bestshifted	logs-run5.mcsta.bestshifted	selection-bestshifted	bestshifted
1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
2	0.1	0.1	0.1286	0.1	0.1	0.1	0.1	0.1	0.129	0.1	0.1	0.1	0.1	0.1	0.121	0.1	0.1	0.1	0.1	0.1	0.128	0.1	0.1	0.1	0.1	0.1	0.13	0.1	0.1	0.1	0.1	0.1	0.134	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
3	0.1	0.1	0.132	0.1548	0.1	0.1	0.1	0.1	0.132	0.143	0.1	0.1	0.1	0.1	0.122	0.156	0.1	0.1	0.1	0.1	0.131	0.16	0.1	0.1	0.1	0.1	0.137	0.148	0.1	0.1	0.1	0.1	0.135	0.167	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
4	0.1274	0.1	0.13520000000000001	0.20539999999999997	0.1	0.1	0.126	0.1	0.136	0.193	0.1	0.1	0.123	0.1	0.131	0.202	0.1	0.1	0.131	0.1	0.138	0.211	0.1	0.1	0.129	0.1	0.137	0.19	0.1	0.1	0.124	0.1	0.138	0.189	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
5	0.1316	0.1	0.44699999999999995	0.2164	0.1	0.1	0.13	0.1	0.472	0.261	0.1	0.1	0.13	0.1	0.446	0.231	0.1	0.1	0.135	0.1	0.433	0.213	0.1	0.1	0.131	0.1	0.434	0.204	0.1	0.1	0.126	0.1	0.45	0.215	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
6	0.13999999999999999	0.1	0.4788	0.31579999999999997	0.1	0.2	0.132	0.101	0.489	0.332	0.1	0.2	0.141	0.104	0.482	0.311	0.1	0.2	0.141	0.101	0.474	0.331	0.1	0.2	0.142	0.102	0.478	0.301	0.1	0.2	0.136	0.101	0.471	0.304	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
7	0.142	0.144	0.7134	0.5227999999999999	0.1	0.2	0.138	0.138	0.677	0.514	0.1	0.2	0.145	0.143	0.659	0.512	0.1	0.2	0.142	0.144	0.657	0.509	0.1	0.2	0.144	0.152	0.727	0.492	0.1	0.2	0.142	0.143	0.721	0.539	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.138	0.1
8	0.1484	0.1554	0.7234	0.5264	0.1	0.2	0.14	0.161	0.729	0.517	0.1	0.2	0.152	0.161	0.721	0.513	0.1	0.2	0.145	0.147	0.719	0.526	0.1	0.2	0.177	0.161	0.758	0.539	0.1	0.2	0.145	0.147	0.76	0.565	0.1	0.2	0.1	0.1	0.101	0.1	0.104	0.1	0.101	0.1	0.102	0.1	0.101	0.1	0.147	0.1
9	0.2652	0.2262	0.7596	0.599	0.2	0.3	0.272	0.23	0.758	0.604	0.2	0.3	0.27	0.225	0.76	0.579	0.2	0.3	0.262	0.225	0.762	0.588	0.2	0.3	0.259	0.226	0.804	0.588	0.2	0.3	0.261	0.225	0.77	0.585	0.2	0.3	0.1316	0.2	0.132	0.2	0.13	0.2	0.135	0.2	0.129	0.2	0.124	0.2	0.225	0.1
