n	logs.Storm.vi-mono-bfsshifted	logs.Storm.vi-mono-reversebfsshifted	logs.Storm.vi-mono-rndshifted	logs.Storm.pi-mono-bfsshifted	logs.Storm.pi-mono-reversebfsshifted	logs.Storm.pi-mono-rndshifted	logs.Storm.lp-mono-bfsshifted	logs.Storm.lp-mono-reversebfsshifted	logs.Storm.lp-mono-rndshifted	logs.Storm.bestshifted
1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
2	0.1	0.1	0.1242	0.1	0.1	0.1	0.1	0.1	0.1	0.1
3	0.1	0.1	0.1432	0.1	0.1	0.1	0.522	0.471	0.9596	0.1
4	0.1	0.16	0.23620000000000002	0.1	0.1	0.1	0.854	0.872	0.967	0.1
5	0.1	0.182	0.2738	0.1	0.1	0.1	0.934	1.238	1.2454	0.1
6	0.109	0.183	0.281	0.148	0.1	0.26425	1.029	1.255	1.845	0.1
7	0.111	0.187	0.29660000000000003	0.271	0.104	0.4234	1.17	1.379	2.254	0.1
8	0.144	0.271	0.3964	0.29	0.282	0.5808	1.206	1.968	2.3198	0.1
9	0.15	0.294	0.49139999999999995	0.367	0.286	1.0368	1.525	2.29	2.8524000000000003	0.1
10	0.212	0.33	0.7412	0.925	0.366	1.1248	2.315	2.428	3.715	0.104
11	0.237	0.479	0.8568	0.962	0.673	2.4173999999999998	3.226	3.172	4.0286	0.109
12	0.476	0.629	0.9224	1.144	0.762	2.7154	3.483	3.635	5.8688	0.111
13	0.487	0.684	0.9902	1.542	0.765	3.5114000000000005	3.531	3.722	7.0813999999999995	0.144
14	0.503	0.687	1.115	1.543	0.888	3.7016	4.13	3.804	7.0994	0.15
15	0.639	0.753	1.129	1.574	1.027	3.7131999999999996	4.58	3.92	7.6822	0.212
16	0.648	0.933	1.2533999999999998	1.716	1.173	4.0966000000000005	5.133	4.89	8.1458	0.237
17	0.67	0.996	1.7844000000000002	1.894	1.312	5.4866	5.45	5.007	11.4512	0.286
18	0.733	1.292	2.9648	2.042	1.326	5.8716	6.734	6.805	11.5062	0.366
19	0.765	1.672	3.1764	2.201	1.36	7.139	7.656	7.484	17.4112	0.476
20	0.8	1.808	3.4478	2.282	1.582	7.1988	9.021	8.654	18.644	0.479
21	0.994	1.834	3.9188	2.53	1.943	8.0648	13.914	10.278	19.5754	0.487
22	1.328	2.275	3.9942	2.816	2.212	8.184000000000001	16.257	14.603	23.339199999999998	0.639
23	1.396	2.295	4.337400000000001	3.04	2.509	8.5456	16.611	14.905	26.9822	0.648
24	1.904	2.677	4.9636000000000005	3.099	2.752	8.8074	17.323	16.014	33.5572	0.733
25	2.094	3.053	4.9976	3.229	2.81	11.8176	18.01	16.171	36.0214	0.765
26	2.341	3.535	5.6288	3.297	2.852	12.601600000000001	18.447	16.473	36.516	0.8
27	2.669	3.774	6.820400000000001	3.667	2.958	15.515	20.936	19.71	37.760400000000004	0.925
28	2.674	4.113	7.140000000000001	3.98	2.989	15.6942	22.226	21.632	42.318	0.994
29	3.09	4.351	7.385	4.513	3.02	15.913999999999998	30.063	24.144	42.636	1.173
30	3.147	4.366	7.4988	4.557	3.138	19.9942	39.8	34.601	46.677800000000005	1.328
31	3.308	4.997	10.0078	4.581	3.775	23.259800000000002	40.135	35.072	70.2558	1.36
32	3.393	5.351	10.3322	4.629	4.477	25.2816	46.876	35.271	79.3366	1.396
33	3.506	5.728	10.541599999999999	8.085	6.422	25.994400000000002	51.923	72.4	83.257	1.834
34	4.039	6.395	10.7294	8.342	6.608	31.337400000000002	55.401	83.199	90.1466	1.943
35	4.392	6.566	10.9792	8.371	7.402	33.4662	58.308	89.728	90.75460000000001	2.094
36	4.463	7.507	12.1844	9.951	8.093	36.0574	69.09	97.269	101.14880000000001	2.212
37	4.667	7.781	13.506	10.226	8.404	39.5304	78.907	103.11	157.1824	2.295
38	4.982	8.241	14.0114	11.445	9.134	42.302	114.577	153.973	202.8112	2.509
39	5.385	9.19	17.316	17.459	11.057	51.3266	143.273	162.293	229.5558	2.669
40	5.653	10.009	17.487199999999998	19.857	11.145	54.8606	170.815	183.101	275.82980000000003	2.674
41	5.771	10.309	17.7994	20.666	12.415	77.0802	173.042	188.193	334.92359999999996	2.81
42	5.864	12.478	18.2804	26.044	13.007	82.1514	188.409	268.042	370.66819999999996	2.852
43	6.05	12.543	19.5766	28.209	17.556	105.376	286.8	291.111	486.5736	2.958
44	6.08	12.698	23.2352	29.37	20.59	106.324	287.921	324.268	675.3966	2.989
45	6.125	13.496	24.8626	31.15	22.48	128.752	309.416	598.926	711.5735	3.02
46	6.23	14.494	25.428	32.961	22.992	129.4346	315.224	648.526	744.786	3.09
47	6.75	14.855	26.830000000000002	33.289	28.577	131.3424	326.195	866.978	841.093	3.393
48	6.981	15.155	29.162599999999998	39.822	30.813	149.74579999999997	429.84			3.506
49	7.163	15.905	31.7642	50.799	31.702	189.3028	535.097			4.463
50	7.499	16.243	33.7894	79.594	33.094	281.2572				4.629
51	7.933	17.97	39.2164	82.987	33.856	463.2048				4.982
52	9.441	25.444	49.8472	100.015	42.485	524.8704				5.385
53	12.179	28.233	71.8412	104.616	57.739	622.9091999999999				5.864
54	12.4	29.405	72.2924	127.495	89.44					6.05
55	13.312	36.594	73.02860000000001	165.778	120.775					6.08
56	13.842	54.504	92.0518	258.843	186.112					7.499
57	14.263	56.536	98.0338	388.279	289.175					7.933
58	15.434	58.852	106.87039999999999	486.894	291.632					8.093
59	16.354	61.082	108.92660000000001	555.886	453.97					8.404
60	16.628	61.168	114.54479999999998		457.25					9.134
61	18.112	72.878	130.6444		471.317					11.057
62	21.502	87.175	166.3052		476.735					12.179
63	22.048	88.619	193.704							13.007
64	31.745	91.606	199.469							13.312
65	34.913	93.955	206.64540000000002							13.842
66	50.267	94.568	220.7654							14.263
67	51.891	146.216	279.7832							15.434
68	53.646	185.541	328.51279999999997							16.354
69	68.389	235.187	548.4816							18.112
70	73.638	255.711	582.866							21.502
71	94.247	275.831	640.303							22.048
72	104.368									28.209
73	136.556									30.813
74	154.571									50.267
75										68.389
76										73.638
77										89.44
78										120.775
79										154.571
80										
