benchmark	Type	Orig	Prop	Class	logs.Storm.vi-topo	logs.Storm.vi-topo-mecq	logs.Storm.ovi-topo	logs.Storm.rs-topo-mecq-exact	logs.Storm.pi-mono-gmres-topo	logs.Storm.vi2pi-topo-exactlu	logs.Storm.vi2pi-topo-gmres-mono	logs.Storm.vi2lp-topo-mecq-gurobi-4auto	logs.Storm.vi2lp-topo-mecq-soplex-exact	logs.mcsta.ii	logs.mcsta.vi-es	best
bitcoin-attack.20-6.T_MWinMin	ma	modest	E	maqvbs	1	1	1	512	1	1	1	1	1	1	1	1
breakdown-queues.8.Min	ma	modest	P	maqvbs	1	1	1	298.907	1	1	1	1	1	1	1	1
breakdown-queues.16.Min	ma	modest	P	maqvbs	1	1	1	724	1	1	1	1	1	1	1	1
breakdown-queues.32.Min	ma	modest	P	maqvbs	1	1	1	724	1	1	1	1	1.831	1	1	1
breakdown-queues.64.Min	ma	modest	P	maqvbs	1	1	1	724	1	1	1	1	6.643	1	1	1
breakdown-queues.8.Max	ma	modest	P	maqvbs	1	1	1	309.937	1	1	1	1	1	1	1	1
breakdown-queues.16.Max	ma	modest	P	maqvbs	1	1	1	724	1	1	1	1	1	1	1	1
breakdown-queues.32.Max	ma	modest	P	maqvbs	1	1	1	724	1	1	1	1	1.209	1	1	1
breakdown-queues.64.Max	ma	modest	P	maqvbs	1	1	1	724	1	1	1	1	5.038	1	1	1
dpm.4-4-5.PminQueuesFull	ma	modest	P	maqvbs	1	1	1	724	1	2.914	1	1	72.804	724	1	1
dpm.4-4-25.PminQueuesFull	ma	modest	P	maqvbs	1	1	1	724	1	2.909	1	1	73.622	724	1	1
dpm.4-6-25.PminQueuesFull	ma	modest	P	maqvbs	1	1	1	724	1	38.449	1	1	724	724	1	1
dpm.4-6-50.PminQueuesFull	ma	modest	P	maqvbs	1	1	1	724	1	38.673	1	1	724	724	1	1
dpm.4-6-100.PminQueuesFull	ma	modest	P	maqvbs	1	1	1	724	1	38.433	1	1	724	724	1	1
dpm.4-8-5.PminQueuesFull	ma	modest	P	maqvbs	1	1	1	724	1.761	336.664	1	1.217	724	724	1	1
dpm.4-8-25.PminQueuesFull	ma	modest	P	maqvbs	1	1	1	724	1.801	336.991	1	1.201	724	724	1	1
dpm.4-8-100.PminQueuesFull	ma	modest	P	maqvbs	1	1	1	724	1.85	335.948	1	1.218	724	724	1	1
dpm.6-4-5.PminQueuesFull	ma	modest	P	maqvbs	1	1	1	724	11.119	724	1.088	2.358	724	1	1	1
dpm.6-6-5.PminQueuesFull	ma	modest	P	maqvbs	5.219	5.43	5.987	724	724	724	11.02	27.147	724	1	1.3	1
dpm.6-8-5.PminQueuesFull	ma	modest	P	maqvbs	26.912	25.635	31.595	724	724	724	724	724	724	2.7	6.8	2.7
dpm.8-4-5.PminQueuesFull	ma	modest	P	maqvbs	25.714	26.187	28.85	724	724	724	724	724	724	2.6	724	2.6
dpm.4-4-5.PminQueue1Full	ma	modest	P	maqvbs	1	1	1	724	1	1	1	1	18.069	724	1	1
dpm.4-4-25.PminQueue1Full	ma	modest	P	maqvbs	1	1	1	724	1	1	1	1	18.633	724	1	1
dpm.4-6-25.PminQueue1Full	ma	modest	P	maqvbs	1	1	1	724	1	17.476	1	1	724	724	1	1
dpm.4-6-50.PminQueue1Full	ma	modest	P	maqvbs	1	1	1	724	1	17.517	1	1	724	724	1	1
dpm.4-6-100.PminQueue1Full	ma	modest	P	maqvbs	1	1	1	724	1	17.448	1	1	724	724	1	1
dpm.4-8-5.PminQueue1Full	ma	modest	P	maqvbs	1	1	1	724	1.323	157.066	1	1.041	724	724	1	1
dpm.4-8-25.PminQueue1Full	ma	modest	P	maqvbs	1	1	1	724	1.349	157.609	1	1.034	724	724	1	1
dpm.4-8-100.PminQueue1Full	ma	modest	P	maqvbs	1	1	1	724	1.46	157.674	1	1.033	724	724	1	1
dpm.6-4-5.PminQueue1Full	ma	modest	P	maqvbs	1	1	1	724	6.678	724	1	5.243	724	1	1	1
dpm.6-6-5.PminQueue1Full	ma	modest	P	maqvbs	4.32	4.236	4.746	724	512	724	8.063	53.806	724	724	1	1
dpm.6-8-5.PminQueue1Full	ma	modest	P	maqvbs	22.337	22.029	24.978	724	724	724	724	724	724	3.5	4.0	3.5
dpm.8-4-5.PminQueue1Full	ma	modest	P	maqvbs	18.611	21.287	21.142	724	724	724	724	724	724	3.1	4.6	3.1
dpm.4-4-5.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	724	1	3.89	1	6.764	47.914	1	1	1
dpm.4-4-25.TminQueuesFull	ma	modest	E	maqvbs	1	1	1	724	1	3.827	1	5.463	44.945	1	1	1
