benchmark	Type	Orig	Prop	Class	logs.Storm.vi-topo	logs.Storm.ovi-topo	logs.Storm.rs-topo-mecq-exact	logs.Storm.vi2pi-topo-exactlu	logs.Storm.vi2pi-topo-gmres-mono	logs.Storm.vi2lp-topo-mecq-gurobi-4auto	logs.Storm.vi2lp-topo-mecq-soplex-exact	best
evadeV.12-4-3-50.MaxGoal	mdp	drn	P	mdp	724	724	724	14.637	724	724	22.459	14.637
evadeV.12-4-4-500.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeV.14-4-3-250.MaxGoal	mdp	drn	P	mdp	724	724	724	20.12	724	724	43.596	20.12
evadeV.14-4-0-350.MaxGoal	mdp	drn	P	mdp	724	1	724	1	1	1	1	1
evadeV.12-4-3-150.MaxGoal	mdp	drn	P	mdp	724	724	724	56.393	724	724	724	56.393
evadeV.9-3-1-50.MaxGoal	mdp	drn	P	mdp	724	724	724	7.94	724	724	14.996	7.94
evadeV.14-4-0-150.MaxGoal	mdp	drn	P	mdp	724	45.168	724	1.435	1.443	724	1.515	1.435
evadeV.12-4-3-350.MaxGoal	mdp	drn	P	mdp	724	1.212	724	1	1	724	1	1
evadeV.12-4-0-250.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeV.14-4-4-400.MaxGoal	mdp	drn	P	mdp	724	724	724	27.949	724	724	88.578	27.949
evadeV.14-4-3-450.MaxGoal	mdp	drn	P	mdp	724	724	724	5.728	724	724	724	5.728
evadeV.12-4-4-300.MaxGoal	mdp	drn	P	mdp	724	724	724	2.673	724	724	2.829	2.673
evadeV.14-4-1-150.MaxGoal	mdp	drn	P	mdp	724	724	724	77.744	724	724	724	77.744
evadeV.12-4-1-250.MaxGoal	mdp	drn	P	mdp	724	724	724	8.13	724	724	11.497	8.13
evadeV.12-4-1-50.MaxGoal	mdp	drn	P	mdp	724	724	724	14.257	724	724	17.478	14.257
evadeV.14-4-2-250.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeV.12-4-2-150.MaxGoal	mdp	drn	P	mdp	724	1	114.421	1	1	1	1.876	1
evadeV.14-4-1-350.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeV.14-4-4-200.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeV.12-4-4-100.MaxGoal	mdp	drn	P	mdp	724	1	724	1	1	1	1	1
evadeV.9-3-3-150.MaxGoal	mdp	drn	P	mdp	724	68.276	724	1	1	724	724	1
evadeV.14-4-1-450.MaxGoal	mdp	drn	P	mdp	724	724	724	13.751	724	724	24.275	13.751
