benchmark	Type	Orig	Prop	Class	logs-avg.Storm.vi-topo	logs-avg.Storm.ovi-topo	logs-avg.Storm.vi2pi-topo-gmres	logs-avg.Storm.vi2lp-topo-gurobi	logs-avg.mcsta.vi	logs-avg.mcsta.ovi	logs-run1.Storm.vi-topo	logs-run1.Storm.ovi-topo	logs-run1.Storm.vi2pi-topo-gmres	logs-run1.Storm.vi2lp-topo-gurobi	logs-run1.mcsta.vi	logs-run1.mcsta.ovi	logs-run2.Storm.vi-topo	logs-run2.Storm.ovi-topo	logs-run2.Storm.vi2pi-topo-gmres	logs-run2.Storm.vi2lp-topo-gurobi	logs-run2.mcsta.vi	logs-run2.mcsta.ovi	logs-run3.Storm.vi-topo	logs-run3.Storm.ovi-topo	logs-run3.Storm.vi2pi-topo-gmres	logs-run3.Storm.vi2lp-topo-gurobi	logs-run3.mcsta.vi	logs-run3.mcsta.ovi	logs-run4.Storm.vi-topo	logs-run4.Storm.ovi-topo	logs-run4.Storm.vi2pi-topo-gmres	logs-run4.Storm.vi2lp-topo-gurobi	logs-run4.mcsta.vi	logs-run4.mcsta.ovi	logs-run5.Storm.vi-topo	logs-run5.Storm.ovi-topo	logs-run5.Storm.vi2pi-topo-gmres	logs-run5.Storm.vi2lp-topo-gurobi	logs-run5.mcsta.vi	logs-run5.mcsta.ovi	best
airport-mdp.130-130.time_min	mdp	prism	E	mdpgrid	4.9676	4.8986	4.9802	7.2864	8.42	15.6	5.011	4.556	5.104	7.362	7.6	15.6	4.983	5.011	4.954	7.504	8.1	16.0	4.981	5.002	4.98	7.145	8.2	20.3	4.996	4.955	4.989	7.276	8.3	13.1	4.867	4.969	4.874	7.145	9.9	13.0	4.556
airport-mdp.250-250.time_min	mdp	prism	E	mdpgrid	68.3272	67.7038	62.5942	80.0212	34.46	66.47999999999999	70.774	70.737	60.733	79.719	32.8	58.1	67.237	69.876	62.851	76.546	35.2	61.4	70.686	70.217	62.914	76.697	34.9	61.9	66.548	66.851	61.527	84.763	35.1	61.8	66.391	60.838	64.946	82.381	34.3	89.2	32.8
avoid-mdp.15-0.2.goal_max	mdp	prism	P	mdpgridmec	1	1.0238	2.9096	724	1	1	1	1.016	2.742	724	1	1	1	1.018	2.734	724	1	1	1	1.034	3.037	724	1	1	1	1	3.024	724	1	1	1	1.068	3.011	724	1	1	1
avoid-mdp.15-0.2.time_min	mdp	prism	E	mdpgrid	1	1	1.299	724	1	1	1	1	1.312	724	1	1	1	1	1.304	724	1	1	1	1	1.301	724	1	1	1	1	1.296	724	1	1	1	1	1.282	724	1	1	1
avoid-mdp.25-0.2.goal_max	mdp	prism	P	mdpgridmec	12.703999999999999	12.7896	60.4616	34.7282	1.6	1.6199999999999999	12.807	12.918	57.791	34.165	1.6	1.7	12.558	12.745	57.937	34.312	1.6	1.6	12.571	12.828	61.895	35.06	1.6	1.7	12.766	12.736	67.55	34.973	1.6	1.6	12.818	12.721	57.135	35.131	1.6	1.5	1.5
avoid-mdp.25-0.2.time_min	mdp	prism	E	mdpgrid	7.6472	5.2928	19.380599999999998	724	1.94	2.5	7.31	5.173	20.193	724	1.8	2.4	7.305	5.128	20.173	724	1.9	2.4	7.917	5.189	19.33	724	2.0	2.6	7.8	5.483	16.791	724	2.0	2.6	7.904	5.491	20.416	724	2.0	2.5	1.8
avoid-mdp.40-0.2.goal_max	mdp	prism	P	mdpgridmec	169.3234	159.8888	182.7688	724	14.38	14.940000000000001	171.436	167.97	183.615	724	14.2	15.1	169.877	148.507	184.11	724	14.2	15.1	163.466	163.71	183.436	724	14.5	15.1	170.808	159.251	182.343	724	14.5	14.7	171.03	160.006	180.34	724	14.5	14.7	14.2
avoid-mdp.40-0.2.time_min	mdp	prism	E	mdpgrid	70.6104	50.9008	323.86379999999997	724	17.52	23.14	102.027	41.486	295.713	724	17.5	22.6	59.911	41.218	297.928	724	17.4	23.5	63.162	41.961	391.127	724	17.4	23.5	63.41	41.788	385.197	724	17.7	23.6	64.542	88.051	249.354	724	17.6	22.5	17.4
beb.4-8-7.GaveUp	mdp	modest	P	mdpqvbs	6.1278	7.240399999999999	7.3188	6.38	4.5600000000000005	4.12	6.293	7.092	7.293	6.395	5.2	4.2	6.245	7.25	7.33	6.297	4.4	4.2	6.049	7.226	7.317	6.346	4.4	4.2	6.053	7.334	7.314	6.348	4.4	4.0	5.999	7.3	7.34	6.514	4.4	4.0	4.0
beb.4-8-7.LineSeized	mdp	modest	P	mdpqvbs	19.8934	20.944200000000002	21.332	20.9872	4.7	4.56	20.049	21.03	20.729	19.969	4.8	4.5	19.873	21.212	20.826	20.352	4.7	4.5	19.937	20.783	19.613	19.999	4.4	4.6	19.825	20.886	24.503	19.942	4.9	4.6	19.783	20.81	20.989	24.674	4.7	4.6	4.4
