benchmark	Type	Orig	Prop	Class	logs-E1620-dockerized.Storm.vi-topo	logs-E1620-dockerized.Storm.ovi-topo	logs-E1620-dockerized.Storm.vi2pi-topo-gmres	logs-E1620-dockerized.Storm.vi2lp-topo-gurobi	logs-E1620-dockerized.mcsta.vi	logs-E1620-dockerized.mcsta.ovi	logs-E1620-dockerized-gprob.Storm.vi-topo	logs-E1620-dockerized-gprob.Storm.ovi-topo	logs-E1620-dockerized-gprob.Storm.vi2pi-topo-gmres	logs-E1620-dockerized-gprob.Storm.vi2lp-topo-gurobi	logs-E1620-dockerized-gprob.mcsta.vi	logs-E1620-dockerized-gprob.mcsta.ovi	logs-M2Pro.Storm.vi-topo	logs-M2Pro.Storm.ovi-topo	logs-M2Pro.Storm.vi2pi-topo-gmres	logs-M2Pro.Storm.vi2lp-topo-gurobi	logs-M2Pro.mcsta.vi	logs-M2Pro.mcsta.ovi	logs-M2Pro-2.Storm.vi-topo	logs-M2Pro-2.Storm.ovi-topo	logs-M2Pro-2.Storm.vi2pi-topo-gmres	logs-M2Pro-2.Storm.vi2lp-topo-gurobi	logs-M2Pro-2.mcsta.vi	logs-M2Pro-2.mcsta.ovi	logs-R32200-dockerized.Storm.vi-topo	logs-R32200-dockerized.Storm.ovi-topo	logs-R32200-dockerized.Storm.vi2pi-topo-gmres	logs-R32200-dockerized.Storm.vi2lp-topo-gurobi	logs-R32200-dockerized.mcsta.vi	logs-R32200-dockerized.mcsta.ovi	logs-R54650U-dockerized.Storm.vi-topo	logs-R54650U-dockerized.Storm.ovi-topo	logs-R54650U-dockerized.Storm.vi2pi-topo-gmres	logs-R54650U-dockerized.Storm.vi2lp-topo-gurobi	logs-R54650U-dockerized.mcsta.vi	logs-R54650U-dockerized.mcsta.ovi	logs-R97950X-dockerized.Storm.vi-topo	logs-R97950X-dockerized.Storm.ovi-topo	logs-R97950X-dockerized.Storm.vi2pi-topo-gmres	logs-R97950X-dockerized.Storm.vi2lp-topo-gurobi	logs-R97950X-dockerized.mcsta.vi	logs-R97950X-dockerized.mcsta.ovi	logs-TRP5965-dockerized.Storm.vi-topo	logs-TRP5965-dockerized.Storm.ovi-topo	logs-TRP5965-dockerized.Storm.vi2pi-topo-gmres	logs-TRP5965-dockerized.Storm.vi2lp-topo-gurobi	logs-TRP5965-dockerized.mcsta.vi	logs-TRP5965-dockerized.mcsta.ovi	logs-TRP5965-native.Storm.vi-topo	logs-TRP5965-native.Storm.ovi-topo	logs-TRP5965-native.Storm.vi2pi-topo-gmres	logs-TRP5965-native.Storm.vi2lp-topo-gurobi	logs-TRP5965-native.mcsta.vi	logs-TRP5965-native.mcsta.ovi	logs-TRP5965-nativeportable.Storm.vi-topo	logs-TRP5965-nativeportable.Storm.ovi-topo	logs-TRP5965-nativeportable.Storm.vi2pi-topo-gmres	logs-TRP5965-nativeportable.Storm.vi2lp-topo-gurobi	logs-TRP5965-nativeportable.mcsta.vi	logs-TRP5965-nativeportable.mcsta.ovi	logs-TRP5965-nativeportable-wls.Storm.vi-topo	logs-TRP5965-nativeportable-wls.Storm.ovi-topo	logs-TRP5965-nativeportable-wls.Storm.vi2pi-topo-gmres	logs-TRP5965-nativeportable-wls.Storm.vi2lp-topo-gurobi	logs-TRP5965-nativeportable-wls.mcsta.vi	logs-TRP5965-nativeportable-wls.mcsta.ovi	logs-claix23.Storm.vi-topo	logs-claix23.Storm.ovi-topo	logs-claix23.Storm.vi2pi-topo-gmres	logs-claix23.Storm.vi2lp-topo-gurobi	logs-claix23.mcsta.vi	logs-claix23.mcsta.ovi	logs-i910980xe-dockerized.Storm.vi-topo	logs-i910980xe-dockerized.Storm.ovi-topo	logs-i910980xe-dockerized.Storm.vi2pi-topo-gmres	logs-i910980xe-dockerized.Storm.vi2lp-topo-gurobi	logs-i910980xe-dockerized.mcsta.vi	logs-i910980xe-dockerized.mcsta.ovi	logs-i910980xe-native.Storm.vi-topo	logs-i910980xe-native.Storm.ovi-topo	logs-i910980xe-native.Storm.vi2pi-topo-gmres	logs-i910980xe-native.Storm.vi2lp-topo-gurobi	logs-i910980xe-native.mcsta.vi	logs-i910980xe-native.mcsta.ovi	logs-i910980xe-native-portable.Storm.vi-topo	logs-i910980xe-native-portable.Storm.ovi-topo	logs-i910980xe-native-portable.Storm.vi2pi-topo-gmres	logs-i910980xe-native-portable.Storm.vi2lp-topo-gurobi	logs-i910980xe-native-portable.mcsta.vi	logs-i910980xe-native-portable.mcsta.ovi	logs-i911900K-dockerized.Storm.vi-topo	logs-i911900K-dockerized.Storm.ovi-topo	logs-i911900K-dockerized.Storm.vi2pi-topo-gmres	logs-i911900K-dockerized.Storm.vi2lp-topo-gurobi	logs-i911900K-dockerized.mcsta.vi	logs-i911900K-dockerized.mcsta.ovi	best
airport-mdp.130-130.time_min	mdp	prism	E	mdpgrid	8.357	7.617	7.799	15.573	11.5	18.1	8.313	7.578	7.818	15.524	11.5	18.1	8.156	8.228	8.309	18.411	6.6	16.5	8.184	8.315	8.4	18.632	6.2	11.4	6.349	5.727	5.596	14.621	8.5	13.2	4.462	3.913	4.094	23.463	6.7	10.4	3.794	3.162	3.435	23.859	4.9	7.3	3.583	3.294	3.409	18.621	5.2	7.4	2.76	2.548	2.657	18.274	5.2	7.5	3.648	3.205	3.359	5.283	5.2	7.6	3.601	3.253	3.361	19.114	5.2	7.4	4.64	4.346	4.494	7.598	7.9	13.0	5.247	4.673	4.886	25.367	10.0	16.2	4.34	3.943	4.132	26.877	9.9	16.2	5.65	4.904	5.169	28.045	10.6	17.5	3.912	3.518	3.622	12.079	6.6	10.8	2.548
airport-mdp.250-250.time_min	mdp	prism	E	mdpgrid	110.551	103.847	104.473	147.281	48.1	79.6	110.81	103.427	104.809	146.841	48.0	79.3	104.813	113.286	114.048	724	33.1	69.2	104.278	112.593	113.821	145.818	28.6	69.0	91.851	83.032	85.351	122.225	36.0	58.4	81.223	72.863	76.432	153.965	28.4	47.1	40.869	36.844	37.618	116.876	19.5	32.0	44.264	41.857	40.257	100.383	21.8	32.8	32.9	32.178	32.59	90.869	21.8	32.8	45.333	40.635	41.713	50.94	21.7	32.7	44.648	41.274	41.701	102.432	21.6	32.8	63.434	56.597	57.624	74.709	30.2	53.7	65.276	59.763	60.488	141.66	43.5	76.0	48.77	46.931	47.109	134.081	42.9	75.1	66.957	60.087	61.308	150.855	44.4	77.3	49.516	45.695	46.417	81.269	27.4	47.4	19.5
avoid-mdp.15-0.2.goal_max	mdp	prism	P	mdpgridmec	1	1.334	4.463	724	1	1	1	1.337	4.457	724	1	1	1	1	1.327	724	1	1	1	1	1.378	724	1	1	1.185	1.7	4.839	724	1	1	1.049	1.398	3.934	724	1	1	1	1	2.271	724	1	1	1	1	2.166	724	1	1	1	1	1.946	724	1	1	1	1	1.963	724	1	1	1	1	1.993	724	1	1	1	1.048	2.308	724	1	1	1	1.115	3.467	724	1	1	1.088	1.953	4.474	724	1	1	1.108	1.963	4.56	724	1	1	1	1	2.374	724	1	1	1
avoid-mdp.15-0.2.time_min	mdp	prism	E	mdpgrid	1	1	1.453	724	1	1	1	1	1.453	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1.136	1	1.549	724	1	1	1	1	1.278	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1	724	1	1	1	1	1.119	724	1	1	1	1	1.189	724	1	1	1.188	1	1.832	724	1	1	1.201	1	1.524	724	1	1	1	1	1	724	1	1	1
avoid-mdp.25-0.2.goal_max	mdp	prism	P	mdpgridmec	15.259	15.134	78.174	46.166	2.0	2.0	15.713	15.65	81.487	47.301	2.0	2.0	5.732	5.583	26.283	20.621	1.2	2.0	5.785	5.592	26.36	21.024	1.2	2.0	18.838	18.806	94.073	52.74	2.0	2.1	16.791	17.339	76.175	44.463	1.6	1.7	11.123	11.324	45.22	30.699	1	1	10.551	10.689	54.959	28.692	1.1	1.1	10.696	10.861	53.284	28.458	1.1	1.1	10.41	10.58	52.483	28.219	1.1	1.1	10.291	10.506	53.075	28.594	1.1	1.1	12.653	12.649	71.984	37.843	1.8	1.6	14.909	14.924	78.037	43.286	1.8	1.9	17.959	17.524	96.669	46.051	1.8	1.9	17.906	17.588	94.053	46.981	1.8	2.0	10.111	10.024	44.923	28.106	1.2	1.3	1
avoid-mdp.25-0.2.time_min	mdp	prism	E	mdpgrid	11.234	6.575	17.277	724	2.8	3.5	11.278	6.557	17.291	724	2.8	3.5	5.372	2.736	15.605	724	1.9	3.7	5.366	2.735	15.483	724	1.8	3.3	12.799	6.954	16.693	724	2.5	3.0	9.75	5.585	13.921	724	2.0	2.3	6.298	4.276	9.067	724	1.3	1.6	5.655	3.806	8.687	724	1.4	1.7	5.675	3.821	10.606	724	1.4	1.7	5.775	3.786	8.578	724	1.4	1.7	5.68	3.844	8.634	724	1.4	1.7	8.541	5.66	20.13	724	2.5	3.3	9.932	6.38	13.717	724	2.5	3.2	13.429	8.637	20.082	724	2.5	3.2	13.509	8.741	16.667	724	2.5	3.2	6.787	4.154	9.844	724	1.6	2.0	1.3
avoid-mdp.40-0.2.goal_max	mdp	prism	P	mdpgridmec	207.883	204.567	213.343	275.044	18.8	19.3	207.172	203.883	213.287	272.923	18.7	19.1	82.933	80.638	85.589	113.789	10.7	16.1	83.064	80.786	85.67	114.553	10.7	15.9	262.105	255.792	268.512	724	17.6	18.0	216.36	215.819	223.871	724	14.3	14.7	171.908	171.04	175.651	218.96	9.3	9.8	159.46	159.894	167.053	190.358	10.4	10.2	159.493	161.791	183.73	191.875	10.3	10.2	158.924	159.571	165.367	187.679	10.4	10.3	157.055	159.607	166.045	190.448	10.4	10.2	223.172	186.23	253.326	724	13.8	14.7	209.016	205.142	213.879	262.242	17.4	18.3	243.632	235.675	250.894	296.705	17.4	18.5	242.175	236.77	245.901	299.423	17.4	18.4	149.697	147.722	153.477	190.762	11.3	11.8	9.3
avoid-mdp.40-0.2.time_min	mdp	prism	E	mdpgrid	105.99	53.229	317.388	724	25.1	32.1	106.231	53.272	316.807	724	25.2	32.0	54.287	23.925	231.679	724	14.7	24.8	54.195	23.883	232.71	393.259	14.6	31.4	724	724	724	724	724	724	81.695	43.73	724	724	724	724	55.912	35.315	235.573	724	11.8	15.2	51.662	31.268	116.951	724	12.7	15.1	51.653	30.709	153.404	724	12.7	15.1	51.997	31.084	116.338	724	12.7	15.1	51.571	31.076	116.562	724	12.7	15.1	83.112	46.878	264.902	724	18.9	23.1	97.928	54.48	263.386	724	23.4	30.2	125.684	74.513	375.248	724	23.4	30.1	126.699	74.683	271.769	724	23.6	30.2	64.242	34.487	176.918	724	14.6	18.8	11.8
beb.4-8-7.GaveUp	mdp	modest	P	mdpqvbs	7.935	9.34	9.246	8.216	7.2	6.1	7.948	9.367	9.255	8.239	7.2	6.1	3.863	4.619	4.579	3.87	4.5	10.0	3.889	4.636	4.598	3.89	3.7	11.3	9.281	11.119	10.972	10.225	8.8	6.6	7.7	9.1	9.055	7.967	5.5	4.6	6.865	7.802	7.82	6.89	3.9	3.5	6.02	6.929	6.982	5.992	4.0	3.3	5.714	6.857	6.747	5.747	4.0	3.2	5.685	6.725	6.59	5.71	4.0	3.3	5.716	6.664	6.644	5.67	4.0	3.3	6.223	7.216	7.221	5.953	4.3	4.0	8.089	9.55	9.559	8.46	6.2	5.8	10.245	12.209	11.88	10.609	6.2	5.8	10.386	12.274	11.92	10.673	6.2	5.8	5.228	6.19	6.124	5.282	4.0	3.8	3.2
beb.4-8-7.LineSeized	mdp	modest	P	mdpqvbs	25.086	26.65	26.496	25.498	5.9	6.1	25.226	26.499	26.499	25.423	5.9	6.2	10.54	11.261	11.258	10.579	3.2	5.5	10.564	11.286	11.269	10.58	3.2	7.6	33.792	35.097	34.316	35.591	6.8	7.1	26.639	28.114	27.998	27.451	4.7	4.6	20.624	21.921	21.456	20.616	3.0	3.5	19.929	20.668	20.832	19.996	3.3	3.3	19.62	20.568	20.511	19.568	3.3	3.3	19.282	20.297	20.153	19.152	3.3	3.3	19.264	20.056	20.224	19.152	3.3	3.3	30.327	20.583	29.452	27.539	4.3	5.1	28.27	29.758	29.629	28.188	5.3	5.8	36.818	38.649	38.021	36.627	5.2	5.9	36.353	38.575	38.304	37.024	5.2	5.9	14.524	15.489	15.407	14.871	3.3	3.8	3.0
